name,id,Tc,Cuprate,Fe-based
Al0.9Ge0.1,8314.0,6.45,0,0
Al0.9Ge0.1Nb3,8532.0,18.9,0,0
Al1,169.0,1.159,0,0
Al13Os2.96Ru1.04,5317.0,0.0,0,0
Al13Ru4,6541.0,0.0,0,0
Al1B2,4038.0,0.0,0,0
Al1C1Y3,3897.0,0.0,0,0
Al1Ce0.017La3,8139.0,0.77,0,0
Al1Cr0.3Nb2.7,1726.0,14.1,0,0
Al1Cu1Zr1,6195.5,0.0,0,0
Al1Gd0.001La3,1991.0,5.6,0,0
Al1Gd0.0065La3,800.0,2.79,0,0
Al1Ge0.026,7424.0,0.0,0,0
Al1Ge1,822.0,5.5,0,0
Al1La1,2160.0,0.0,0,0
Al1Lu2,2860.0,0.0,0,0
Al1Lu3,4993.0,0.0,0,0
Al1Nb2.1V0.9,9312.0,12.5,0,0
Al1Nb2Ni1,2550.0,4.2,0,0
Al1Nb3,5250.75,17.3025,0,0
Al1Pd1Mo6,3784.0,2.1,0,0
Al1Re1,1950.0,0.0,0,0
Al1Sc3,6858.0,0.0,0,0
Al1Sr2Ca1.4Y0.6Cu3O9.1,2924.0,14.0,1,0
Al1Sr2Ca1.5Y0.5Cu3O9.1,8478.0,0.0,1,0
Al1Sr2Ca1.7Y0.3Cu3O9.1,4137.0,0.0,1,0
Al1Sr2Ca2Cu3O10.1,7117.0,76.0,1,0
Al1Sr2Ca2Cu3O9.3,2053.0,63.0,1,0
Al1Sr2Ho0.65Ca0.35Cu2O7.01,6186.0,0.0,1,0
Al2.06Cu1,3858.0,0.65,0,0
Al20.3V2,7253.0,1.49,0,0
Al25Nb75,2509.0,17.5,0,0
Al2C1Cr3,5411.0,0.0,0,0
Al2C1Mo3,3553.0,9.366666666666667,0,0
Al2C1Ta3,1359.0,0.0,0,0
Al2Ca1,849.0,0.0,0,0
Al2Ca1Si1,9085.0,5.8,0,0
Al2La1,9378.0,3.24,0,0
Al2Mg2,2162.0,0.84,0,0
Al2Mg3,3653.0,0.0,0,0
Al2Os1,5646.0,0.0,0,0
Al2Pt1,8346.0,0.55,0,0
Al2Zn2Zr1,2250.0,0.0,0,0
Al3Mg2,1918.5,0.855,0,0
Al3Th1,7016.0,0.75,0,0
Al3V1,7337.0,0.0,0,0
Al3Zr1,1947.0,0.0,0,0
Al4La1,6352.0,0.0,0,0
Al5Mo1,2488.0,0.0,0,0
Am1,9005.0,0.79,0,0
As0.15Ga0.15Nb3Sn0.7,8875.0,18.01,0,0
As0.15Nb3Pb0.15Sn0.7,6461.0,18.05,0,0
As0.25Se0.75Y1,1165.0,0.78,0,0
As0.33In1Te0.67,9804.0,0.85,0,0
As0.5In1Te0.5,5021.0,0.44,0,0
As1,2564.0,0.2,0,0
As1Bi1Pb1Sb1,3878.0,9.0,0,0
As1Co1,2856.0,0.0,0,0
As1Cr1,7824.0,2.17,0,0
As1Cu3,6472.0,0.0,0,0
As1Ga1,5329.0,7.4,0,0
As1Ge1,1007.0,3.5,0,0
As1Ge1Mo1,7670.0,0.0,0,0
As1Ge1Re1,3450.0,0.0,0,0
As1Ir2,7911.0,0.0,0,0
As1Nb3,4967.0,0.28,0,0
As1Ni0.25Pd0.75,4571.333333333333,1.5133333333333334,0,0
As1Pd1Se1,4524.0,0.0,0,0
As1Rh1,828.0,0.58,0,0
As1Rh1.4,7452.0,0.03,0,0
As1Rh2,2211.0,0.0,0,0
As1Ru1,4385.5,0.0,0,0
As1Ru2,9026.0,0.0,0,0
As1W1,2876.0,0.0,0,0
As1Y1,2802.0,0.0,0,0
As1Zn1,4805.0,0.0,0,0
As1Zr1,9812.0,0.0,0,0
As2Fe3,4990.0,0.0,0,1
As2Hf1,532.0,0.0,0,0
As2Mo1,8342.0,0.0,0,0
As2Nb1,5752.0,0.0,0,0
As2Pd3,2136.0,0.0,0,0
As2Te3,5707.0,4.4,0,0
As3La4,8250.0,6.5,0,0
As3Mo1,4800.0,0.0,0,0
As3Pt2,8758.0,0.0,0,0
As7Tc3,5610.0,0.0,0,0
Au0.02Nb3Rh0.98,5787.0,2.53,0,0
Au0.05Zr0.95,9271.0,1.79,0,0
Au0.07Zr0.93,4444.0,2.52,0,0
Au0.16Te0.84,780.0,1.71,0,0
Au0.1Sb0.9,122.0,8.0,0,0
Au0.1Zr0.9,6257.0,2.78,0,0
Au0.22Te0.78,2.0,1.54,0,0
Au0.24Te0.76,4891.0,1.72,0,0
Au0.25Nb0.75,114.0,11.0,0,0
Au0.278Ga0.722,3809.0,1.615,0,0
Au0.27Tl0.73,7788.0,2.04,0,0
Au0.281Ga0.719,7631.0,1.587,0,0
Au0.28Te0.72,7634.0,1.96,0,0
Au0.2La0.8,7806.0,3.71,0,0
Au0.2Pd1.8In1Y1,8963.0,1.24,0,0
Au0.2Sb0.6Te0.2,31.0,6.6,0,0
Au0.2Sn0.8,8919.0,2.38,0,0
Au0.2Te0.8,8525.0,1.48,0,0
Au0.388Ga0.612,6378.0,1.355,0,0
Au0.3Pd0.033Te0.666,5447.0,2.6,0,0
Au0.3Te0.7,7646.0,1.99,0,0
Au0.41Ge0.59,9255.0,2.2,0,0
Au0.499Ga0.501,3166.0,1.17,0,0
Au0.75Hg0.25,4647.0,0.0,0,0
Au0.835Sn0.165,7699.0,0.59,0,0
Au0.84In0.16,3326.0,0.035,0,0
Au0.85Pd0.15Ga2,1853.0,1.79,0,0
Au0.85Zn0.15,7068.0,0.0,0,0
Au0.865Sn0.135,7015.0,0.435,0,0
Au0.92Ga0.04In0.04,8593.0,0.0682,0,0
Au0.92Ga0.068In0.012,5322.0,0.137,0,0
Au0.92Ga0.06In0.02,2400.0,0.13,0,0
Au0.92Ga0.08,1282.0,0.168,0,0
Au0.93In0.07,5713.0,0.0164,0,0
Au0.98Pd0.02Ga2,7792.0,1.51,0,0
Au1,5715.0,0.0,0,0
Au16.7Pd16.6Te66.7,6881.0,4.6,0,0
Au1Be1,2611.0,2.64,0,0
Au1Ga1,2729.5,1.2,0,0
Au1Ga2,6666.2,1.0619999999999998,0,0
Au1Ge1,1993.0,2.7,0,0
Au1In1,2640.5,0.5,0,0
Au1In2,2628.0,0.22,0,0
Au1Lu1,3500.0,0.185,0,0
Au1Mg1,8884.0,0.0,0,0
Au1Pb3,125.0,4.4,0,0
Au1Sb2,6365.0,0.58,0,0
Au1Sn1,756.0,1.25,0,0
Au1Ta2,4531.0,0.0,0,0
Au1V3,6901.5,2.3274999999999997,0,0
Au1Zn2,1722.0,0.0,0,0
Au1Zr3,1670.0,0.92,0,0
Au2Bi1,5415.5,1.77,0,0
Au2Ga1Y1,4261.0,0.0,0,0
Au2In1Tm1,1159.0,0.0,0,0
Au2In1Y1,3044.0,1.74,0,0
Au2Na1,7231.0,0.0,0,0
Au2Pb1,7079.0,1.3,0,0
Au3Te5,611.0,1.62,0,0
Au5Ca1,8954.0,0.34,0,0
Au5Cd8,3385.0,0.0,0,0
Au5Zn8,5334.0,0.0,0,0
Au63.5Ge20.5Yb16,7110.0,0.36,0,0
Au9Nb11,3031.0,0.0,0,0
B0.048C0.952,5538.0,6.6,0,0
B0.057Si0.943,8326.0,0.34,0,0
B0.3Ru0.7,1949.0,2.58,0,0
B0.86Ba0.14,7780.0,0.0,0,0
B1,6443.0,6.0,0,0
B1.92Nb0.86,7247.0,0.0,0,0
B12Er1,519.0,0.0,0,0
B12Lu1,6741.0,0.4,0,0
B12Sc1,3562.0,0.39,0,0
B12Y1,4768.5,4.7,0,0
B12Yb0.01Zr0.99,7319.0,4.4,0,0
B12Zr1,5215.0,5.925,0,0
B1C1Mo2,4933.333333333333,5.933333333333334,0,0
B1Cr1,2592.0,0.0,0,0
B1I3,8037.0,1.86,0,0
B1Mo1,3380.5,0.25,0,0
B1Mo1.75Ta0.25,438.0,3.05,0,0
B1Mo2,9788.0,5.85,0,0
B1N1,6861.0,0.0,0,0
B1Nb1,9981.0,0.0,0,0
B1Nb3,107.0,0.0,0,0
B1Ni2,2491.0,0.0,0,0
B1Re2,7242.0,2.8,0,0
B1Re3,6542.0,4.7,0,0
B1Rh2,1278.0,0.0,0,0
B1Sr2Ca2Cu3O9,4561.0,75.0,1,0
B1Sr2Ca3Cu4O11,3382.0,110.0,1,0
B1Ta0.5W1.5,2717.0,1.94,0,0
B1Ta2,2908.0,0.0,0,0
B1Th1,8893.0,0.0,0,0
B1V2,9385.0,0.0,0,0
B1W2,7485.5,3.2,0,0
B2.1Nb1,7071.0,5.8,0,0
B2.5Mo1,4902.0,7.775,0,0
B2.75Be1,6047.5,0.72,0,0
B2.8C97.2,7422.0,4.0,0,0
B2Cr1,5533.0,0.0,0,0
B2Mg0.8,2147.0,38.0,0,0
B2Mg0.988Sc0.012,5841.0,41.4,0,0
B2Nb0.4,9352.0,6.57,0,0
B2Nb0.6,2113.0,8.04,0,0
B2Nb1,5476.666666666667,2.25,0,0
B2Os1,3258.0,0.0,0,0
B2V1,6398.0,0.0,0,0
B2V3,2039.0,0.0,0,0
B2Zr1,5673.0,5.5,0,0
B3Mo6S8Sn1,6467.0,15.0,0,0
B3Re7,2035.0,3.08,0,0
B3Ru7,6250.0,3.38,0,0
B4C1,770.0,0.0,0,0
B5Hf0.2Mo1.8,8310.0,8.4,0,0
B5Mo0.2Nb1.8,9434.0,4.3,0,0
B5Mo1.7Ti0.3,7753.0,7.1,0,0
B5W2,1552.0,0.0,0,0
B6Ho0.01Y0.99,2152.0,0.0,0,0
B6La1,4491.0,2.85,0,0
B6Nd1,5038.0,3.0,0,0
B6Tb0.01Y0.99,6882.0,0.0,0,0
B6Tb1,5596.0,0.0,0,0
B6Th1,5700.0,0.0,0,0
B6Y0.99Yb0.01,8923.0,0.0,0,0
B6Y1,5275.0,6.3,0,0
Ba0.13W1P3,3522.0,1.9,0,0
Ba0.14O3W1,3810.0,2.2,0,0
Ba0.19K0.81Bi1O3,9128.0,8.4,0,0
Ba0.1M1Hf1N1Cl1,8544.0,25.1,0,0
Ba0.1Na0.9Fe2As2,5212.0,18.4,0,1
Ba0.1Sr0.9Ti1O3,518.0,0.1,0,0
Ba0.241K0.759Bi1O3,8810.0,0.0,0,0
Ba0.33Hf1N1Cl1,1791.0,20.2,0,0
Ba0.34K0.66Bi1O3,6636.5,7.0,0,0
Ba0.35K0.65Bi1O3,4915.0,1.88,0,0
Ba0.37K0.63Bi1O2.952,7406.0,8.71,0,0
Ba0.3W1O3,4587.0,0.0,0,0
Ba0.46K0.56Bi1O2.965,6061.0,14.8,0,0
Ba0.47K0.53Bi0.979Pr0.021O3,8932.0,4.5,0,0
Ba0.47K0.53Bi0.995Pr0.005O3,4147.0,9.0,0,0
Ba0.47K0.53Bi0.99Pr0.01O3,2712.0,6.4,0,0
Ba0.48K0.52Bi1O2.9,87.0,21.1,0,0
Ba0.4K0.6Bi1O3,2525.0,7.2,0,0
Ba0.4K0.6Fe2As2,4248.666666666667,31.2,0,1
Ba0.51K0.49Bi1O2.974,6966.0,22.2,0,0
Ba0.51K0.49Bi1O3,2790.0,17.2,0,0
Ba0.542K0.458Bi1O3,1628.0,23.1,0,0
Ba0.557K0.443Bi1O3,7950.0,25.0,0,0
Ba0.55K0.45Bi1O3,6831.0,20.0,0,0
Ba0.56La0.44Fe2As2,475.0,0.0,0,1
Ba0.575K0.425Bi1O3,1714.0,27.3,0,0
Ba0.584K0.416Bi1O3,9421.0,28.8,0,0
Ba0.5K0.5Bi1O3,4859.5,19.075000000000003,0,0
Ba0.5K0.5Fe1.8Ni0.2As2,9278.0,11.1,0,1
Ba0.5K0.5Fe1.8Ru0.2As2,1813.0,36.5,0,1
Ba0.5K0.5Fe1.92Zn0.08As2,1302.0,34.3,0,1
Ba0.5K0.5Fe1.96Mn0.04As2,3420.0,28.4,0,1
Ba0.5K0.5Fe1.9Cu0.1As2,6167.0,22.29,0,1
Ba0.5K0.5Fe1.9Mn0.1As2,8065.0,9.53,0,1
Ba0.5K0.5Fe1.9Ru0.1As2,9512.0,37.14,0,1
Ba0.5K0.5Fe2As2O1,8319.0,36.0,0,1
Ba0.613K0.387Bi1O3,3062.0,30.7,0,0
Ba0.625K0.375Bi1O3,3606.5,28.75,0,0
Ba0.62K0.38Bi1O3,9718.0,21.5,0,0
Ba0.63K0.37Bi1O3,3623.1428571428573,29.728571428571428,0,0
Ba0.63K0.37Fe2As2,1723.0,39.0,0,1
Ba0.64K0.34Fe2As2,9476.0,39.0,0,1
Ba0.64K0.36Fe2As2,2665.0,25.6,0,1
Ba0.65K0.35Bi1O3,7928.0,29.2,0,0
Ba0.65Na0.35Fe2As2,2591.0,33.1,0,1
Ba0.665K0.335Bi1O2.985,4397.0,27.3,0,0
Ba0.66K0.34Bi1O3,2535.0,30.0,0,0
Ba0.67Pt3B2,7617.0,5.6,0,0
Ba0.68Na0.32Fe2As2,4672.0,23.8,0,1
Ba0.698Na0.302Fe2As2,331.0,18.0,0,1
Ba0.6K0.4Bi1O2.926,2347.0,27.6,0,0
Ba0.6K0.4Fe2As2,4314.25,37.1325,0,1
Ba0.6Na0.4Fe2As2,4987.0,33.7,0,1
Ba0.6Rb0.4Fe2As2,8996.0,34.0,0,1
Ba0.6Rb0.4Ti2Sb2O1,6041.0,5.71,0,0
Ba0.72K0.28Fe2As2,9242.0,34.0,0,1
Ba0.75K0.25Fe2As2,2602.0,28.3,0,1
Ba0.75Na0.25Ti2Sb2O1,8368.0,5.53,0,0
Ba0.76K0.24Fe2As2,2298.0,26.0,0,1
Ba0.78K0.22Fe2As2,688.0,23.5,0,1
Ba0.797K0.203Fe2As2,8558.0,17.0,0,1
Ba0.7K0.3Bi0.7Pb0.3O3,9041.0,14.6,0,0
Ba0.7K0.3Fe2As2,6519.5,36.95,0,1
Ba0.7K0.6Bi1O3,7008.0,29.35,0,0
Ba0.805K0.195Fe1.738Co0.262As2,1485.0,14.0,0,1
Ba0.823K0.177Fe2As2,6394.0,10.0,0,1
Ba0.82Pr0.18Fe2As2,5266.0,6.2,0,1
Ba0.833K0.167Fe2As2,2000.0,7.0,0,1
Ba0.84Rb0.1Sn0.09Fe2As2,6779.0,22.6,0,1
Ba0.85Na0.15Ti2Sb2O1,8588.5,5.109999999999999,0,0
Ba0.88K0.12Ti2Sb2O1,4676.0,6.1,0,0
Ba0.8K0.2Bi1O3,7642.0,0.0,0,0
Ba0.8K0.2Ti2Sb2O1,5974.0,3.0,0,0
Ba0.91Ce0.09Fe2As2,5431.0,4.12,0,1
Ba0.91La0.09Fe2As2,8750.0,7.76,0,1
Ba0.95K0.05Fe1.782Co0.212As2,7249.0,16.0,0,1
Ba0.95K0.05Ti2Sb2O1,8823.0,4.25,0,0
Ba0.96K0.04Ti2Sb2O1,3376.0,3.88,0,0
Ba0.9K0.1Bi1O3,9874.0,0.0,0,0
Ba0.9K0.1Fe2As2,3526.0,0.0,0,1
Ba0.9K0.1Ti2Sb2O1,1922.0,5.13,0,0
Ba0.9Rb0.1Ti2Sb2O1,8619.0,5.33,0,0
Ba0.9Yb0.1Fe2As2,536.0,20.0,0,1
Ba1,6027.5,4.8,0,0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.04,588.0,50.0,1,0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.28,7851.0,51.0,1,0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,6835.0,79.0,1,0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.25,695.0,53.0,1,0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.36,2206.0,75.0,1,0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.36,1167.0,19.0,1,0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.21,2769.0,0.0,1,0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.33,8653.0,0.0,1,0
Ba1.6Sr0.4Yb1Cu3O6.48,5903.0,10.0,1,0
Ba1.6Sr0.4Yb1Cu3O6.53,9289.0,34.0,1,0
Ba1.6Sr0.4Yb1Cu3O6.69,6555.0,48.9,1,0
Ba1.6Sr0.4Yb1Cu3O6.8,6564.0,81.0,1,0
Ba1.7K0.3Pb0.9Bi0.1O4,522.0,11.0,0,0
Ba1Ag0.2Si1.8,999.0,3.2,0,0
Ba1Ag0.5Si1.5,6802.0,1.21,0,0
Ba1Al0.95Si1.05,4730.0,2.8,0,0
Ba1Al1Si1,3773.0,0.0,0,0
Ba1Bi1O3,5874.0,0.0,0,0
Ba1Bi3,4574.333333333333,5.763333333333333,0,0
Ba1Co2As2,9147.0,0.0,0,0
Ba1Cu0.3Si1.7,4869.0,3.0,0,0
Ba1Fe1.125Ru0.875As2,7604.0,22.5,0,1
Ba1Fe1.25Cr0.75As2,3887.0,0.0,0,1
Ba1Fe1.28Ru0.72As2,8949.0,8.95,0,1
Ba1Fe1.3Ru0.7As2,7912.0,19.5,0,1
Ba1Fe1.44Ru0.56As2,7246.0,15.0,0,1
Ba1Fe1.52Ru0.48As2,8846.0,15.55,0,1
Ba1Fe1.64Ru0.36As2,3864.0,8.43,0,1
Ba1Fe1.678Ru0.322As2,6059.0,9.31,0,1
Ba1Fe1.73Zn0.16Co0.11As2,3993.0,0.0,0,1
Ba1Fe1.75Co0.25As2,9075.0,22.0,0,1
Ba1Fe1.76Ru0.24As2,9406.0,0.0,0,1
Ba1Fe1.772Co0.228As2,9121.0,10.6,0,1
Ba1Fe1.776Co0.224As2,2956.0,11.1,0,1
Ba1Fe1.77Co0.23As2,777.0,16.5,0,1
Ba1Fe1.784Co0.216As2,7489.0,14.6,0,1
Ba1Fe1.78Co0.22As2,5691.0,13.5,0,1
Ba1Fe1.79Zn0.1Co0.11As2,2522.0,8.0,0,1
Ba1Fe1.824Co0.176As2,4412.0,21.0,0,1
Ba1Fe1.82Ru0.18As2,6232.0,25.8,0,1
Ba1Fe1.848Rh0.152As2,307.0,22.2,0,1
Ba1Fe1.84Co0.16As2,1671.0,21.8,0,1
Ba1Fe1.852Co0.148As2,3438.5,22.75,0,1
Ba1Fe1.854Ru0.146As2,6663.0,0.0,0,1
Ba1Fe1.856Cu0.04As2,2837.0,0.0,0,1
Ba1Fe1.856Ni0.144As2,5481.0,6.0,0,1
Ba1Fe1.857Co0.13Mn0.013As2,8762.0,18.0,0,1
Ba1Fe1.85Co0.15As2,5031.0,23.1,0,1
Ba1Fe1.85Ni0.15As2,2037.0,14.0,0,1
Ba1Fe1.85Zn0.04Co0.11As2,3531.0,18.5,0,1
Ba1Fe1.866Pd0.134As2,1519.0,7.16,0,1
Ba1Fe1.86Cr0.14As2,2616.0,0.0,0,1
Ba1Fe1.874Co0.126As2,9631.0,23.5,0,1
Ba1Fe1.87Co0.13As2,7237.0,25.0,0,1
Ba1Fe1.886Rh0.114As2,3984.0,24.9,0,1
Ba1Fe1.892Ni0.108As2,4894.5,14.600000000000001,0,1
Ba1Fe1.8Co0.2As2,5015.8,21.16,0,1
Ba1Fe1.8Ir0.2As2,6651.0,27.4,0,1
Ba1Fe1.8Ni0.2As2,1790.0,6.4,0,1
Ba1Fe1.906Co0.042Cu0.052As2,9036.0,11.6,0,1
Ba1Fe1.906Co0.094As2,4895.0,16.533333333333335,0,1
Ba1Fe1.916Co0.084As2,3550.0,15.5,0,1
Ba1Fe1.91Co0.09As2,9577.0,15.1,0,1
Ba1Fe1.91Mo0.09As2,9401.0,0.0,0,1
Ba1Fe1.922Rh0.078As2,6276.5,15.9,0,1
Ba1Fe1.924Co0.076As2,3842.0,6.85,0,1
Ba1Fe1.935Ni0.065As2,7191.0,11.3,0,1
Ba1Fe1.936Ni0.064As2,5876.0,15.1,0,1
Ba1Fe1.945Ni0.055As2,8066.0,7.4,0,1
Ba1Fe1.952Ni0.048As2,9668.0,4.1,0,1
Ba1Fe1.958Rh0.042As2,5036.0,5.41,0,1
Ba1Fe1.982Mo0.018As2,6264.0,16.7,0,1
Ba1Fe1.9846Cu0.0154As2,4631.0,0.0,0,1
Ba1Fe1.9Ni0.1As2,9876.0,20.0,0,1
Ba1Fe2As1.18P0.82,6010.0,25.3,0,1
Ba1Fe2As1.28P0.72,1578.0,22.4,0,1
Ba1Fe2As1.34P0.66,6411.0,30.25,0,1
Ba1Fe2As1.74P0.26,1057.0,0.0,0,1
Ba1Fe2P2,9589.0,0.0,0,1
Ba1Ga0.78Si1.22,4409.0,4.0,0,0
Ba1Ga1Si1,3864.5,4.05,0,0
Ba1In1Ge1,5049.0,0.0,0,0
Ba1Ir2P2,658.0,2.1,0,0
Ba1Li0.05Ti2As2O1,8888.0,0.0,0,0
Ba1Nb2O5,6863.0,0.0,0,0
Ba1Nb2S5,6600.0,0.0,0,0
Ba1Nb2Se5,6624.0,2.5,0,0
Ba1Ni2As1.816P0.184,9370.0,3.27,0,0
Ba1Ni2As1.846P0.154,9912.0,3.28,0,0
Ba1Ni2As1.972P0.028,3412.0,0.634,0,0
Ba1Ni2As2,3761.0,0.68,0,0
Ba1Ni2Ge0.2P1.8,8447.0,2.59,0,0
Ba1Ni2P2,2774.0,2.755,0,0
Ba1Os2P2,6430.0,0.0,0,0
Ba1Pb0.65Bi0.35O3,6973.0,3.93,0,0
Ba1Pb0.65Ce0.1Bi0.25O3,5197.0,0.0,0,0
Ba1Pb0.75Bi0.253,4535.0,12.5,0,0
Ba1Pb0.75Bi0.25O3,5431.5,11.25,0,0
Ba1Pb0.85Sb0.15O3,8397.0,1.4,0,0
Ba1Pb0.8Bi0.2O3,46.0,10.25,0,0
Ba1Pb0.8Sb0.2O3,3660.0,1.7,0,0
Ba1Pd0.3Si1.7,4937.0,2.9,0,0
Ba1Pd2As2,1820.0,2.0,0,0
Ba1Pt0.3Si1.7,3482.0,2.6,0,0
Ba1Pt2,4036.5,0.0,0,0
Ba1Pt2As2,5671.5,1.6925,0,0
Ba1Pt2Sb2,9417.0,1.835,0,0
Ba1Rh2P2,9099.0,1.0,0,0
Ba1Ru0.5Rh0.5O3,7796.0,0.0,0,0
Ba1Ru2As2,6448.5,0.0,0,0
Ba1Ta2S5,5670.0,3.14,0,0
Ba1Ti1O3,8299.0,0.0,0,0
Ba1Ti2As0.4Sb1.6O1,5836.0,0.0,0,0
Ba1Ti2As1.2Sb0.8O1,4966.0,0.0,0,0
Ba1Ti2Sb0.4Bi1.6O1,8512.0,4.52,0,0
Ba1Ti2Sb0.8Bi1.2O1,2360.0,4.02,0,0
Ba1Ti2Sb1.4Sn0.6O1,7392.0,2.49,0,0
Ba1Ti2Sb1.6Bi0.4O1,3532.0,3.47,0,0
Ba1Ti2Sb1.6Sn0.4O1,6262.0,2.31,0,0
Ba1Ti2Sb1.9Sn0.1O1,204.0,0.0,0,0
Ba1Ti2Sb1Bi1O1,8408.0,0.0,0,0
Ba1Ti2Sb2O1,1426.5,1.2,0,0
Ba1V0.8TI0.2S3,6471.0,0.0,0,0
Ba24Si100,6068.0,1.4,0,0
Ba2Bi1.25Sb1.75,1765.0,0.0,0,0
Ba2Bi2.25Sb0.75,2130.0,4.06,0,0
Ba2Bi2.75Sb0.25,2389.0,4.46,0,0
Ba2Ca0.25Cu0.9Co2.55O2.3,7177.0,0.0,1,0
Ba2Ca1Cu2F1.4O4.6,6357.0,106.0,1,0
Ba2Ca2Cu3F1.6O6.4,1858.0,102.0,1,0
Ba2Ca2Cu3F2O6,9962.0,76.0,1,0
Ba2Ca3Cu4F1.2O8.8,3999.0,102.0,1,0
Ba2Ca3Cu4F1.4O8.6,4455.0,91.0,1,0
Ba2Ca3Cu4F1.6O8.4,7677.0,77.0,1,0
Ba2Ca3Cu4F1.8O8.2,7199.0,66.0,1,0
Ba2Ca3Cu4F1O9.0,2045.0,103.0,1,0
Ba2Ca3Cu4F2O8,2213.0,55.0,1,0
Ba2Cu1Cl2O2,596.0,0.0,1,0
Ba2Cu1O4,4084.0,42.5,1,0
Ba2Gd1Ru0.9Cu0.1O6,820.0,0.0,1,0
Ba2Sr6Si46,6592.0,4.1,0,0
